nombre_completo;legislatura;nombre;apellidos;distrito;partido;familia_partidos;ideologia;id_dip
Luis Hermida Villelga;1933-1936;LUIS;HERMIDA VILLELGA;Badajoz;CEDA;Conservadores;C;430
Andres Maroto Rodriguez De Vera;1933-1936;ANDRES;MAROTO RODRIGUEZ DE VERA;Ciudad Real;CEDA;Conservadores;C;537
Jose Llado Y Valles;1931-1933;JOSE;LLADO Y VALLES;Lugo;RI;Conservadores;C;490
Antonio Rodriguez Perez;1933-1936;ANTONIO;RODRIGUEZ PEREZ;Coruña (La);RI;Conservadores;C;808
Francisco Molleda Garces;1931-1933;FRANCISCO;MOLLEDA GARCES;León;Independiente;Independiente;C;608
Luis Zulueta Y Escolano;1931-1933;LUIS;ZULUETA Y ESCOLANO;Badajoz;ASR;Liberales;C;1026
Juan Diaz Del Moral;1931-1933;JUAN;DIAZ DEL MORAL;Córdoba;ASR;Liberales;C;263
Enrique Fajardo Fernandez;1931-1933;ENRIQUE;FAJARDO FERNANDEZ;Granada;ASR;Liberales;C;297
Alfonso Garcia Valdecasas Y Garcia Valdecasas;1931-1933;ALFONSO;GARCIA VALDECASAS Y GARCIA VALDECASAS;Granada;ASR;Liberales;C;370
Juan Jose Santa Cruz Garces;1931-1933;JUAN JOSE;SANTA CRUZ GARCES;Granada;ASR;Liberales;C;883
Justino De Azcarate Y Florez;1931-1933;JUSTINO DE;AZCARATE Y FLOREZ;León;ASR;Liberales;C;91
Jose Ortega Y Gasset;1931-1933;JOSE;ORTEGA Y GASSET;León;ASR;Liberales;C;673
Publio Suarez Uriarte;1931-1933;PUBLIO;SUAREZ URIARTE;León;ASR;Liberales;C;926
Bernardo Giner De Los Rios Garcia;1931-1933;BERNARDO;GINER DE LOS RIOS GARCIA;Málaga;ASR;Liberales;C;383
Ramon Perez De Ayala;1931-1933;RAMON;PEREZ DE AYALA;Oviedo;ASR;Liberales;C;714
Manuel Rico Avello;1931-1933;MANUEL;RICO AVELLO;Oviedo;ASR;Liberales;C;784
Miguel De Unamuno Y Jugo;1931-1933;MIGUEL DE;UNAMUNO Y JUGO;Salamanca;ASR;Liberales;C;960
Vicente Iranzo Enguita;1931-1933;VICENTE;IRANZO ENGUITA;Teruel;ASR;Liberales;C;446
Gregorio Marañon Posadillo;1931-1933;GREGORIO;MARAÑON POSADILLO;Zamora;ASR;Liberales;C;525
Natalio Rivas Santiago;1936-1939;NATALIO;RIVAS SANTIAGO;Granada;Centro;Liberales;C;792
Manuel Becerra Fernandez;1936-1939;MANUEL;BECERRA FERNANDEZ;Lugo;Centro;Liberales;C;121
Virgilio Fernandez De La Vega Lombau;1936-1939;VIRGILIO;FERNANDEZ DE LA VEGA LOMBAU;Lugo;Centro;Liberales;C;309
Ramon Fernandez Mato;1936-1939;RAMON;FERNANDEZ MATO;Lugo;Centro;Liberales;C;317
Armando Peñamaria Alvarez;1936-1939;ARMANDO;PEÑAMARIA ALVAREZ;Lugo;Centro;Liberales;C;709
Francisco Medina Clares;1936-1939;FRANCISCO;MEDINA CLARES;Murcia;Centro;Liberales;C;584
Manuel Rico Avello;1936-1939;MANUEL;RICO AVELLO;Murcia;Centro;Liberales;C;784
Fernando Ramos Cerviño;1936-1939;FERNANDO;RAMOS CERVIÑO;Orense;Centro;Liberales;C;770
Antonio De Seras Gonzalez;1936-1939;ANTONIO DE;SERAS GONZALEZ;Sevilla;Centro;Liberales;C;903
Fermin Daza Diaz Del Castillo;1936-1939;FERMIN;DAZA DIAZ DEL CASTILLO;Badajoz;Centro;Liberales;C;257
Jose Rosado Gil;1936-1939;JOSE;ROSADO GIL;Badajoz;Centro;Liberales;C;819
Melchor Almagro San Martin;1936-1939;MELCHOR;ALMAGRO SAN MARTIN;Granada;Centro;Liberales;C;37
Manuel Portela Valladares;1936-1939;MANUEL;PORTELA VALLADARES;Pontevedra;Centro;Liberales;C;745
Filiberto Villalobos Gonzalez;1936-1939;FILIBERTO;VILLALOBOS GONZALEZ;Salamanca;Centro;Liberales;C;1006
Felix Eleuterio Benitez De Lugo Y Rodriguez;1936-1939;FELIX ELEUTERIO;BENITEZ DE LUGO Y RODRIGUEZ;Santa Cruz de Tenerife;Centro;Liberales;C;125
Publio Suarez Uriarte;1933-1936;PUBLIO;SUAREZ URIARTE;León;Independiente;Liberales;C;926
Manuel Portela Valladares;1931-1933;MANUEL;PORTELA VALLADARES;Lugo;Independiente;Liberales;C;745
Jeronimo Garcia Gallego;1931-1933;JERONIMO;GARCIA GALLEGO;Segovia;Independiente;Liberales;C;359
Miguel Villanueva Y Gomez;1931-1933;MIGUEL;VILLANUEVA Y GOMEZ;Logroño;LD;Liberales;C;1010
Melquiades Alvarez Gonzalez Posada;1936-1939;MELQUIADES;ALVAREZ GONZALEZ POSADA;Oviedo;LD;Liberales;C;50
Melquiades Alvarez Gonzalez Posada;1933-1936;MELQUIADES;ALVAREZ GONZALEZ POSADA;Oviedo;LD;Liberales;C;50
Ramon Alvarez Valdes Y Castañon;1936-1939;RAMON;ALVAREZ VALDES Y CASTAÑON;Oviedo;LD;Liberales;C;57
Ramon Alvarez Valdes Y Castañon;1933-1936;RAMON;ALVAREZ VALDES Y CASTAÑON;Oviedo;LD;Liberales;C;57
Alfredo Martinez Garcia Arguelles;1933-1936;ALFREDO;MARTINEZ GARCIA ARGUELLES;Oviedo;LD;Liberales;C;557
Mariano Merediz Diaz Parreño;1933-1936;MARIANO;MEREDIZ DIAZ PARREÑO;Oviedo;LD;Liberales;C;593
Pedro Miñor Rivas;1933-1936;PEDRO;MIÑOR RIVAS;Oviedo;LD;Liberales;C;601
Alfonso Muñoz De Diego;1933-1936;ALFONSO;MUÑOZ DE DIEGO;Oviedo;LD;Liberales;C;642
