rep_id;rep_name_base;grafia;fuente;estado;corto;uso
1;Gerardo Abad Conde;Gerardo Abad Conde;Diario: V2 838 «El Sr. ABAD CONDE:» · Congreso: ABAD CONDE, GERARDO, elecciones 1931 · RAH 46: Gerardo Abad Conde;confirmada;Abad Conde;Gerardo Abad Conde
2;Raimundo De Abadal Caldero;Raimundo de Abadal Calderó;Diario: V2 3154 «El Sr. ABADAL:» · tildes: Calderó (texto 4 de 8) · Congreso: ABADAL CALDERO, RAIMUNDO DE, elecciones 1931 · RAH: sin biografía;probable;Abadal;Raimundo de Abadal
6;Amos Acero Perez;Amós Acero Pérez;Diario: V2 39107 «El Sr. ACERO:» · tildes: Pérez (texto 12.467 de 12.543) · Congreso: ACERO PEREZ, AMOS, elecciones 1931 · RAH 326: Amós Acero Pérez;confirmada;Acero;Amós Acero
7;Antonio Acuña Carballar;Antonio Acuña Carballar;Diario: V2 3829 «El Sr. ACUNA:» · tildes: Acuña (texto 1.581 de 1.585) · Congreso: ACUÑA CARBALLAR, ANTONIO, elecciones 1931, 1933, 1936 · RAH: sin biografía;probable;Acuña;Antonio Acuña
8;Jose Acuña Y Gomez De La Torre;José Acuña y Gómez de la Torre;Diario: V2 102552 «El Sr. ACUNA Y GÓMEZ DE LA TORRE:» · tildes: Acuña (texto 1.581 de 1.585), Gómez (texto 8.645 de 8.696) · Congreso: ACUÑA Y GOMEZ DE LA TORRE, JOSE, elecciones 1936 · RAH: sin biografía;probable;Acuña y Gómez de la Torre;José Acuña y Gómez de la Torre
9;Dimas Adanez Horcajuelo;Dimas Adánez Horcajuelo;Diario: V2 70947 «El Sr. ADÁNEZ:» · tildes: Adánez (texto 807 de 831) · Congreso: ADANEZ HORCAJUELO, DIMAS, elecciones 1933, 1936 · RAH: sin biografía;probable;Adánez;Dimas Adánez
11;Jaime Aguade Miro;Jaime Aguadé Miró;Diario: V2 32900 «El Sr. AGUADE:» · tildes: Aguadé (texto 473 de 479), Miró (texto 38 de 47) · Congreso: AGUADE MIRO, JAIME, elecciones 1931, 1933, 1936 · RAH: sin biografía;probable;Aguadé;Jaime Aguadé
12;Francisco Aguado De Miguel;Francisco Aguado de Miguel;Diario: V2 61924 «El Sr. AGUADO DE MIGUEL:» · Congreso: AGUADO DE MIGUEL, FRANCISCO, elecciones 1933, 1936 · RAH: sin biografía;probable;Aguado de Miguel;Francisco Aguado de Miguel
13;Crescenciano Aguado Merino;Crescenciano Aguado Merino;Diario: V2 61935 «El Sr. AGUADO:» · Congreso: AGUADO MERINO, CRESCENCIANO, elecciones 1933 · RAH: sin biografía;probable;Aguado;Crescenciano Aguado
14;Juan Maria Aguilar Calvo;Juan María Aguilar Calvo;Diario: V2 102154 «El Sr. AGUILAR CALVO:» · Congreso: AGUILAR CALVO, JUAN MARIA, elecciones 1936 · RAH: sin biografía;probable;Aguilar Calvo;Juan María Aguilar Calvo
15;Manuel Aguillaume Valdes;Manuel Aguillaume Valdés;Diario: V2 64008 «El Sr. AGUILLAUME:» · tildes: Valdés (texto 1.227 de 1.229) · Congreso: AGUILLAUME VALDES, MANUEL, elecciones 1933 · RAH: sin biografía;probable;Aguillaume;Manuel Aguillaume
16;Jose Antonio Aguirre Y Lecube;José Antonio Aguirre y Lecube;Diario: V2 2547 «El Sr. AGUIRRE:» · Congreso: AGUIRRE Y LECUBE, JOSE ANTONIO, elecciones 1931, 1933, 1936 · RAH 860: José Antonio de Aguirre Lecube;confirmada;Aguirre;José Antonio Aguirre
17;Francisco Agustin Rodriguez;Francisco Agustín Rodríguez;Diario: V2 45788 «El Sr. AGUSTÍN RODRÍGUEZ:» · tildes: Agustín (texto 548 de 646), Rodríguez (texto 7.210 de 9.716) · Congreso: AGUSTIN RODRIGUEZ, FRANCISCO, elecciones 1931 · RAH: sin biografía;probable;Agustín;Francisco Agustín
18;Rafael Aizpun Santafe;Rafael Aizpún Santafé;Diario: V2 45772 «El Sr. AIZPÚN:» · tildes: Aizpún (texto 1.430 de 1.471), Santafé (texto 13 de 35) · Congreso: AIZPUN SANTAFE, RAFAEL, elecciones 1931, 1933, 1936 · RAH 1744: Rafael Aizpún Santafé;confirmada;Aizpún;Rafael Aizpún
19;Luis Alarcon De La Lastra;Luis Alarcón de la Lastra;Diario: V2 64032 «El Sr. ALARCÓN:» · tildes: Alarcón (texto 642 de 643) · Congreso: ALARCON DE LA LASTRA, LUIS, elecciones 1933 · RAH 1651: Luis de Alarcón y de la Lastra;confirmada;Alarcón;Luis Alarcón
20;Santiago Alba Bonifaz;Santiago Alba Bonifaz;Diario: V2 3282 «El Sr. ALBA:» · Congreso: ALBA BONIFAZ, SANTIAGO, elecciones 1931, 1933, 1936 · RAH 1380: Santiago Alba y Bonifaz;confirmada;Alba;Santiago Alba
21;Manuel Albar Catalan;Manuel Albar Catalán;Diario: V2 5048 «El Sr. ALBAR:» · tildes: Catalán (texto 56 de 56) · Congreso: ALBAR CATALAN, MANUEL, elecciones 1931 · RAH 1607: Manuel Albar Catalán;confirmada;Albar;Manuel Albar
22;Gumersindo Alberca Montoya;Gumersindo Alberca Montoya;Diario: V2 1996 «El Sr. ALBERCA MONTOYA:» · Congreso: ALBERCA MONTOYA, GUMERSINDO, elecciones 1931 · RAH: sin biografía;probable;Alberca Montoya;Gumersindo Alberca Montoya
25;Jose Maria Albiñana Sanz;José María Albiñana Sanz;Diario: V2 61602 «El Sr. ALBINANA:» · tildes: Albiñana (texto 941 de 1.011) · Congreso: ALBIÑANA SANZ, JOSE MARIA, elecciones 1933, 1936 · RAH 1549: José María Albiñana Sanz;confirmada;Albiñana;José María Albiñana
26;Alvaro De Albornoz Y Liminiana;Álvaro de Albornoz y Liminiana;Diario: V2 13913 «El Sr. Ministro de JUSTICIA (Albornoz):» · Congreso: ALBORNOZ Y LIMINIANA, ALVARO DE, elecciones 1931, 1936 · RAH 1640: Álvaro de Albornoz y Liminiana;confirmada;Albornoz;Álvaro de Albornoz
27;Nicolas Alcala Espinosa;Nicolás Alcalá Espinosa;Diario: V2 63422 «El Sr. ALCALÁ ESPINOSA:» · tildes: Alcalá (texto 1.014 de 1.014) · Congreso: ALCALA ESPINOSA, NICOLAS, elecciones 1933 · RAH: sin biografía;probable;Alcalá Espinosa;Nicolás Alcalá Espinosa
28;Niceto Alcala Zamora Y Torres;Niceto Alcalá-Zamora y Torres;Diario: V2 1279 «El Sr. Presidente del GOBIERNO (Alcalá-Zamora):» · tildes: Alcalá (texto 1.014 de 1.014) · Congreso: ALCALA ZAMORA Y TORRES, NICETO, elecciones 1931 · RAH 1404: Niceto Alcalá-Zamora y Torres;confirmada;Alcalá-Zamora;Niceto Alcalá-Zamora
30;Ramon Maria Aldasoro Y Galarza;Ramón María Aldasoro y Galarza;Diario: V2 210 «El Sr. ALDASORO:» · Congreso: ALDASORO Y GALARZA, RAMON MARIA, elecciones 1931 · RAH: sin biografía;probable;Aldasoro;Ramón María Aldasoro
