biblioteca,nombre_en_el_explorador,grupo,fecha,num_session,entradas,entradas_biblioteca,sesiones_biblioteca
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1931-08-27,28,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1931-09-18,41,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1931-10-01,48,2,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1931-10-08,52,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1931-10-10,54,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1931-10-13,55,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1932-03-09,132,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1932-05-13,165,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1932-05-27,173,2,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1933-02-02,288,2,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1935-03-20,173,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1936-04-07,15,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1936-06-16,45,4,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1937-10-01,64,3,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1938-02-01,66,2,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1938-09-30,67,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1939-02-01,69,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1945-11-07,72,1,29,19
Discursos principales (1931-1945),Discursos principales (1931-1945),discursos,1945-11-08,73,2,29,19
La Cámara se constituye (1931),Debate · La Cámara se constituye (1931),debates,1931-07-14,1,10,676,6
La Cámara se constituye (1931),Debate · La Cámara se constituye (1931),debates,1931-07-18,3,360,676,6
La Cámara se constituye (1931),Debate · La Cámara se constituye (1931),debates,1931-07-27,9,55,676,6
