columna,tipo,vacios,distintos,filas,fila_5423,fila_5424
id,entero,0,107551,107551,5423,5424
num_session,entero,0,405,107551,48,48
order,entero,0,586,107551,25,26
date,fecha,0,752,107551,1931-10-01,1931-10-01
speaker,texto,0,2370,107551,El Sr. PRESIDENTE:,La Srta. CAMPOAMOR:
speech,texto,0,68760,107551,Ruego a la Cámara que guarde silencio.,"Yo ruego a la Cámara que me escuche en silencio; no es con agresiones y no es con ironias como vais a vencer mi fortaleza; la única cosa que yo tengo aquí ante vosotros, Sres. Diputados, que merezca la consideración y acaso la emulación es precisamente el defender un derecho a que me obliga mi naturaleza y mi fe, con tesón y con firmeza. (Muy bien. Aplausos.) No quisiera recoger interrupciones para no alargar la discusión; pero, puesto que he oído en el aire que ""dentro de un año"", es que creéis que dentro de un año la mujer si iba a estar capacitada? Es que creéis que para esa época vais a conquistar su ideología? Pues por qué no empezáis la cruzada rápidamente, para conquistarla antes? Es que para vencer esa naturaleza acaso necesitáis el plazo de un año?

Se lanzaba ayer desde esos bancos (Señalando a los de la minoría radical socialista.) el nombre de la señorita telefonista de Ayerbe, diciendo que se convirtió en espía; frente a ése os cito yo como simbolo de otras el de otra mujer, el de Mariana de Pineda. (Rumores.)

Pero vengamos a la pura esfera de los principios. He de comenzar por decir, Sres. Diputados, que mi situación especial en la Cámara, precisamente, es un poco la de Saturno, la de devorar mis argumentos; yo no quisiera que sobre la Cámara se sintiera la pesadumbre de la mujer.

De aquí que, en vez de extenderme en refutar por menudo, como podría hacer, los argumentos vertidos, haya de concretarme, precisamente por temor a cansaros, a remitirme a lo que ayer os dije. Me encuentro en esa posición en que nosotros los abogados hemos visto tantas veces al delincuente en el banquillo de los acusados: le sobran, acaso, razones, argumentos para contra-restar las acusaciones; pero solo frente a todos, tal vez cree que debe congriarse un poco con el silencio, y su timidez vence a su natural obligación de defensa. Por eso he de limitar mucho mi intervención en la tarde de hoy.

No se trata aquí esta cuestión desde el punto de vista del principio, que harto claro está, y en vuestras conciencias repercute, que es un problema de ética, de pura ética reconocer a la mujer, ser humano, todos sus derechos, porque ya desde Fitche, en 1796, se ha aceptado, en principio también, el postulado de que sólo aquel que no considere a la mujer un ser humano es capaz de afirmar que todos los derechos del hombre y del ciudadano no deben los mismos para la mujer que para el hombre. Y en el Parlamento francés, en 1848, Victor Cousideraut se levantó para decir que una Constitución que concede el voto al mendigo, al doméstico y al analfabeto—que en España existe—no puede negársele a la mujer. No es desde el punto de vista del principio, es desde el temor que aquí se ha expuesto, fuera del ámbito del principio—cosa dolorosa para un abogado—como se puede venir a discutir el derecho de la mujer a que le sea reconocido en la Constitución el de sufragio. Y desde el punto de vista práctico, utilitario, ¿de qué acusáis a la mujer? ¿Es de ignorancia? Pues yo no puedo, por enojosas que sean las estadísticas, dejar de referirme a un estudio del Sr. Luzuriaga acerca del analfabetismo en España.

Hace el un estudio ciclico desde 1868 hasta el año 1910, nada más, porque las estadísticas van muy lentamente y no hay en España otras. ¿Y sabéis lo que dice esa estadística? Pues dice que, tomando los números globales en el ciclo de 1860 a 1910, se observa que mientras el número total de analfabetos varones, lejos de disminuir ha aumentado en 73.082, el de la mujer analfabeta ha disminuido en 48.098; y refiriéndose a la proporcionalidad del analfabetismo en la población global, la disminución en los varones es sólo de 12,7 por 100, en tanto que en las hembras es de 20,2. Esto quiere decir simplemente, agrega el autor, que la disminución del analfabetismo es más rápida en las mujeres que en los hombres y que de continuar ese proceso de disminución en los dos sexos, no sólo llegarán a alcanzar las mujeres el grado de cultura elemental de los hombres, sino que lo sobrepasarán. Eso en 1910. Y desde 1910 ha seguido la curva ascendente, y la mujer, hoy día, es menos analfabeta que el varón. No es, pues, desde el punto de vista de la ignorancia desde el que se puede negar a la mujer la entrada en la obtención de este derecho. (Muy bien.)

Otra cosa, además, al varón que ha de votar. No olvidéis que no sois hijos de varón tan sólo (Risas), sino que se reúne en vosotros el producto de los dos sexos.

En ausencia mía y leyendo el Diario de Sesiones, pude ver en él que un doctor hablaba aquí de que no había ecuación posible, y con espíritu heredado de Mœbius y Aristóteles declaraba la incapacidad de la mujer. A eso, un solo argumento: aunque no queráis y si por acaso admitis la incapacidad femenina, votáis en la mitad de vuestro ser incapaz. Yo y todas las mujeres a quienes represento queremos votar con nuestra mitad capaz masculina, porque no hay degeneración de sexos, porque todos somos hijos de hombre y de mujer y recibimos por igual las dos partes de nuestro ser. Este principio lo oía yo explicar con clarividencia magnifica al insigne maestro Unamuno, refiriéndose a una discusión con D.ª Emilia Pardo Bazán, discusión en que esta hallaba atenazada con el argumento de la incapacidad heredada y, al fin, el le dió la salida en este magnífico argumento que luego han desarrollado los biológos. Somos producto de dos seres; no hay incapacidad posible de vosotros a mí, ni de mí a vosotros. Desconocer esto, es negar la realidad evidente. Negadlo si queréis; sois libres de ello, pero sólo en virtud de un derecho que habéis (perdonadme la palabra, que digo sólo por su claridad y no con espíritu agresivo) detentado, porque os disteis a vosotros mismos las leyes; pero no porque tengáis un derecho natural para poner al margen a la mujer.

Yo, Sres. Diputados, me siento ciudadana antes que mujer, y considero que sería un profundo error político dejar a la mujer al margen de ese derecho, a la mujer que espera y confiía en vosotros; a la mujer que, como ocurrió con otras fuerzas nuevas en la Revolución francesa, será indiscutiblemente una nueva fuerza que se incorpora al Derecho y no hay sino empujarla a que siga su camino. No dejéis a la mujer que, si es regresiva, piense que su esperanza estuvo en la Dictadura; no dejéis a la mujer que piense, si es avanzada, que su esperanza de igualdad está en el comunismo. No cometáis, Sres. Diputados, ese error político de gravisimas consecuencias. Salváis a la República, ayudáis a la República atrayéndoos y sumándoos esa fuerza que espera ansiosa el momento de su redención.

Cada uno habla a virtud de una experiencia y yo os hablo en nombre de la mía propia. Yo soy Diputado por la provincia de Madrid; la he recorrido, no sólo en cumplimiento de mi deber, sino por caríneo, y muchas veces, siempre, he visto que a los actos públicos acudía una concurrencia femenina muy superior a la masculina, y he visto en los ojos de esas mujeres la esperanza de redención, he visto el deseo de ayudar a la República, he visto la pasión y la emoción que ponen en sus ideales. La mujer española espera hoy de la República la redención suya y la redención del hijo. No cometáis un error histórico que no tendréis nunca bastante tiempo para llorar (Rumores); que no tendréis nunca bastante tiempo para llorar al margen de la República a la mujer, que representa una fuerza nueva, una fuerza joven; que ha sido simpatía y apoyo para los hombres que estaban en las cárceles; que ha sufrido en muchos casos como vosotros mismos, y que está anhelante, aplicándose a si misma la frase de Humboldt, de que la única manera de madurarse para el ejercicio de la libertad y de hacerla acesible a todos, es caminar dentro de ella.

Señores Diputados, he pronunciado mis últimos palabras en este debate. Perdonadme si os molesté, considerando que es mi convicción la que habla; que hablo como republicana, pero como republicana que ante un ideal lo defendería hasta la muerte; que pondría, como dije ayer, la cabeza y el corazón en el platillo de la balanza, de igual modo que Breno colocó su espada, para que se inclinara en favor del voto de la mujer, y que además sigo pensando, y no por vanidad, sino por intima convicción, que nadie como yo sirve en estos momentos a la República española. (Muy bien.—Aplausos.)"
rep_id,entero,147,773,107551,133,175
rep_name,texto,147,773,107551,Julian Besteiro Fernandez,Clara Campoamor Y Rodriguez
district,texto,147,54,107551,Madrid,Madrid
party,texto,147,39,107551,PSOE,PRR
party_family,texto,151,33,107551,Socialista,Republicanos
ideology,texto,147,8,107551,I,C
nwords,entero,0,3805,107551,7,1460
legislature,texto,0,3,107551,1931-1933,1931-1933
