fecha,num_session,legislatura,etapa,filas_con_lista,ids_V2
1931-09-02,31,1931-1933,I,1,2864
1931-09-16,39,1931-1933,I,1,3381
1931-09-17,40,1931-1933,I,1,3544
1931-09-22,42,1931-1933,I,1,3809
1931-09-25,45,1931-1933,I,4,4197 4412 4497 4711
1931-09-29,46,1931-1933,I,2,4845 4868
1931-09-30,47,1931-1933,I,2,5341 5395
1931-10-01,48,1931-1933,I,1,5453
1931-10-02,49,1931-1933,I,1,5859
1931-10-06,50,1931-1933,I,3,6106 6117 6239
1931-10-07,51,1931-1933,I,1,6416
1931-10-13,55,1931-1933,I,6,6738 6812 6818 6844 6923 6994
1931-10-16,58,1931-1933,I,1,7338
1931-10-21,60,1931-1933,I,1,7806
1931-10-22,61,1931-1933,I,1,8008
1931-10-27,63,1931-1933,I,2,8247 8272
1931-10-28,64,1931-1933,I,1,8607
1931-10-29,65,1931-1933,I,2,8673 8757
1931-10-30,66,1931-1933,I,1,8914
1931-11-10,71,1931-1933,I,1,9744
1931-11-11,72,1931-1933,I,2,9844 9877
1931-11-20,78,1931-1933,I,1,11547
1931-11-24,79,1931-1933,I,1,11717
1931-11-25,80,1931-1933,I,1,12098
1931-11-26,81,1931-1933,I,1,12286
1931-12-01,83,1931-1933,I,1,12818
1931-12-09,88,1931-1933,I,1,13525
1931-12-17,91,1931-1933,I,1,13673
1932-01-07,95,1931-1933,I,1,14155
1932-01-12,97,1931-1933,I,1,14441
1932-01-14,99,1931-1933,I,1,14767
1932-01-15,100,1931-1933,I,2,14998 15070
1932-01-19,101,1931-1933,I,2,15157 15179
1932-01-20,102,1931-1933,I,1,15346
1932-01-21,103,1931-1933,I,1,15477
1932-02-04,111,1931-1933,I,1,16504
1932-02-05,112,1931-1933,I,1,16636
1932-02-09,113,1931-1933,I,1,16929
1932-02-10,114,1931-1933,I,1,17088
1932-02-16,116,1931-1933,I,1,17562
1932-02-24,122,1931-1933,I,2,18824 18845
1932-02-25,123,1931-1933,I,1,18914
1932-02-26,124,1931-1933,I,1,19123
1932-02-27,125,1931-1933,I,1,19489
1932-03-01,126,1931-1933,I,2,19642 19671
1932-03-02,127,1931-1933,I,2,19808 19817
1932-03-03,128,1931-1933,I,1,20043
1932-03-04,129,1931-1933,I,1,20057
1932-03-08,131,1931-1933,I,2,20464 20583
1932-03-16,136,1931-1933,I,3,21131 21183 21195
1932-03-17,137,1931-1933,I,1,21320
1932-03-22,140,1931-1933,I,1,21841
1932-03-30,146,1931-1933,I,2,22716 22744
1932-04-01,148,1931-1933,I,1,23042
