legislatura,tramo_desde,tramo_hasta,filas_presidencia,filas_resto,palabras_presidencia,palabras_resto
todas,0,5,15741,18455,63572,57567
todas,6,10,11360,3642,82144,27359
todas,11,20,6534,3311,97617,49942
todas,21,50,7989,4518,256821,151102
todas,51,100,3123,4216,220235,308889
todas,101,300,2436,8864,389599,1657672
todas,301,1000,619,10202,329208,5787812
todas,1001,3000,341,4884,605156,8148899
todas,3001,10000,96,1196,419254,5387378
todas,10001,,2,22,27863,267807
1931-1933,0,5,8805,10980,35471,33799
1931-1933,6,10,6604,2125,46891,15888
1931-1933,11,20,3631,1955,55021,29438
1931-1933,21,50,4517,2720,144908,90668
1931-1933,51,100,1763,2454,124272,180116
1931-1933,101,300,1361,5118,219877,961665
1931-1933,301,1000,344,5654,178853,3180097
1931-1933,1001,3000,137,2523,230518,4217488
1931-1933,3001,10000,27,620,123731,2882458
1931-1933,10001,,2,15,27863,187268
1933-1935,0,5,6213,6576,25160,20949
1933-1935,6,10,4058,1355,30188,10269
1933-1935,11,20,2464,1247,36134,18866
1933-1935,21,50,3067,1612,98850,54223
1933-1935,51,100,1176,1586,83390,116036
1933-1935,101,300,918,3305,143653,611692
1933-1935,301,1000,207,3901,112670,2226775
1933-1935,1001,3000,182,1950,336507,3227019
1933-1935,3001,10000,58,462,242796,2022502
1933-1935,10001,,0,5,0,58441
1936-1939,0,5,723,899,2941,2819
1936-1939,6,10,698,162,5065,1202
1936-1939,11,20,439,109,6462,1638
1936-1939,21,50,405,186,13063,6211
1936-1939,51,100,184,176,12573,12737
1936-1939,101,300,157,441,26069,84315
1936-1939,301,1000,68,647,37685,380940
1936-1939,1001,3000,22,411,38131,704392
1936-1939,3001,10000,11,114,52727,482418
1936-1939,10001,,0,2,0,22098
