fecha,num_session,orador_rotulo,rep_id,rep_name,party,fragmento,id_V2,id_v3
1931-07-20,4,El Sr. FRANCO:,340,Gabriel Franco López,AR,"En la imposibilidad de recoger notarialmente la prueba de estas fechorias, que no suelen hacerse con luz y taquigrafos",420,472
1932-04-09,153,El Sr. BALBONTIN:,98,José Antonio Balbontín,PRRS,se discutiese ampliamente con luz y taquigrafos y en presencia de todos los Sres. Diputados de las demás minorías,23898,26612
1932-05-03,158,El Sr. BALBONTIN:,98,José Antonio Balbontín,PRRS,"la máxima garantía es la oposición libre, con luz y taquigrafos",24658,27477
1933-07-19,373,El Sr. BALBONTÍN:,98,José Antonio Balbontín,PRRS,"yo aquí he levantado mi voz, con luz y taquigrafos, contra los pistoleros",55902,62718
1933-08-03,382,El Sr. ROYO VILLANOVA:,821,Antonio Royo Villanova,Agrarios,"aquí se liquida todo con luz y taquigrafos, como decía Maura",57506,64595
1934-06-08,96,El Sr. JIMÉNEZ FERNÁNDEZ:,456,Manuel Giménez Fernández,CEDA,Luz y taquigrafos.,71330,80306
1934-11-13,120,El Sr. CALDERÓN:,166,Abilio Calderón,Agrarios,"no hay ningún reparo, ningún obstaculo ni ninguna dificultad para que se examine el presupuesto con luz y taquigrafos",75263,84760
1935-01-29,149,Ei Sr. FUENTES PILA:,342,Santiago Fuentes Pila,RE,que realiza el Parlamento suele decir que hacen falta  … luz y taquigrafos,79803,89910
1935-11-22,266,El Sr. CALVO SOTELO:,170,José Calvo Sotelo,RE,"El que está agazapado en su escaño, con luz y taquigrafos, naturalmente que no quiere valerse de nocturnidad ni de obscuridad de ninguna clase.",99859,112827
1936-07-08,58,El Sr. MAURIN:,583,Joaquín Maurín,POUM,"Hay luz y taquigrafos, los taquigrafos recogeran eso.",106747,120751
