mes,etapa,legislatura,estado,sesiones_V2,filas_V2,palabras_V2,diputados_V2,clase_tono
1931-07,I,1931-1933,sesion,13,1282,208229,114,2
1931-08,I,1931-1933,sesion,16,1482,371244,127,3
1931-09,I,1931-1933,sesion,18,2633,565120,187,4
1931-10,I,1931-1933,sesion,19,3519,598938,195,4
1931-11,I,1931-1933,sesion,16,3818,568308,166,4
1931-12,I,1931-1933,sesion,10,1145,206907,133,2
1932-01,I,1931-1933,sesion,16,2343,474874,190,3
1932-02,I,1931-1933,sesion,17,3340,512213,174,3
1932-03,I,1931-1933,sesion,22,3283,680087,188,5
1932-04,I,1931-1933,sesion,10,1700,315121,125,2
1932-05,I,1931-1933,sesion,17,1473,530057,155,4
1932-06,I,1931-1933,sesion,18,2371,591946,166,4
1932-07,I,1931-1933,sesion,17,3479,740388,167,5
1932-08,I,1931-1933,sesion,18,3555,722454,160,5
1932-09,I,1931-1933,sesion,6,1758,288973,108,2
1932-10,I,1931-1933,sesion,16,1601,377037,149,3
1932-11,I,1931-1933,sesion,18,2404,575950,154,4
1932-12,I,1931-1933,sesion,19,3604,858083,171,5
1933-01,I,1931-1933,sin_sesion,0,0,0,0,
1933-02,I,1931-1933,sesion,16,1843,574317,145,4
1933-03,I,1931-1933,sesion,19,2249,606144,133,4
1933-04,I,1931-1933,sesion,8,887,241193,83,2
1933-05,I,1931-1933,sesion,18,2424,537331,138,4
1933-06,I,1931-1933,sesion,16,2187,488887,140,3
1933-07,I,1931-1933,sesion,16,2862,566163,133,4
1933-08,I,1931-1933,sesion,19,3067,564881,128,4
1933-09,I,1931-1933,sesion,5,901,148313,74,2
1933-10,I,1931-1933,sesion,2,145,53132,22,1
1933-11,,,fuera,0,0,0,0,
1933-12,II,1933-1935,sesion,14,835,174929,91,2
1934-01,II,1933-1935,sesion,17,1564,470660,168,3
1934-02,II,1933-1935,sesion,12,1282,374866,143,3
1934-03,II,1933-1935,sesion,17,1655,579955,143,4
1934-04,II,1933-1935,sesion,14,1742,408007,121,3
1934-05,II,1933-1935,sesion,17,2301,697690,162,5
1934-06,II,1933-1935,sesion,19,3511,870822,204,5
1934-07,II,1933-1935,sesion,2,392,98730,57,2
1934-08,II,1933-1935,sin_sesion,0,0,0,0,
1934-09,II,1933-1935,sin_sesion,0,0,0,0,
1934-10,II,1933-1935,sesion,2,67,17245,14,1
