fecha,num_session,tipo,preside,orador_fila,fragmento,id_V2,id_v3
1931-12-10,89,orden,Besteiro,Julián Besteiro,Que no constaran en el Diario de Sesiones.,13605,15129
1933-02-07,290,orden,Besteiro,Julián Besteiro,"Esas palabras, que no constarán en el Diario de Sesiones.",45115,50466
1933-02-09,292,orden,Besteiro,Julián Besteiro,le aseguro que las palabras que ha pronunciado no constarán en el Diario de Sesiones.,45440,50818
1934-02-21,39,ajena,Casanueva,Luis Rodríguez de Viguri,por parecerne injusto que no constara en el Diario de Sesión,64659,72690
1936-04-15,17,orden,Jiménez de Asúa,Luis Jiménez de Asúa,Esas palabras no constarán en el Diario de Sesiones.,102484,115828
1936-04-15,17,orden,Jiménez de Asúa,Luis Jiménez de Asúa,Ya se ha dicho que no constarán esas palabras en el Diario de Sesiones.,102486,115830
1936-04-15,17,orden,Jiménez de Asúa,Luis Jiménez de Asúa,Ya ha advertido la Presidencia que no constarán en el Diario de Sesiones esas palabras.,102492,115836
1936-05-06,25,acotacion,Sánchez Albornoz,Jesús Pabón,(El Sr. Muñoz de Zafra pronuncia palabras que no se consignan por orden del Sr. Presidente,103182,116626
1936-05-06,25,acotacion,Jiménez de Asúa,José Calvo Sotelo,Un Sr. Diputado pronuncia palabras que producen protestas de las minorías y que no constan por orden del Sr. Presidente.,103250,116697
1936-05-06,25,orden,Jiménez de Asúa,Luis Jiménez de Asúa,No constará en el Diario de Sesiones.,103251,116698
1936-06-03,38,peticion,Martínez Barrio,José Calvo Sotelo,ciertas palabras insultantes e incalificables con que se ha injuriado a las hermanas de la Caridad no constarán en el Diario de Sesiones.,104406,118058
1936-06-16,45,acotacion,Martínez Barrio,José Calvo Sotelo,(El orador pronuncia palabras que no constan por orden del Sr. Presidente,105310,119084
1936-06-16,45,acotacion,Martínez Barrio,Fernando Suárez de Tangil,(El Sr. Carrillo replica con palabras que levantan grandes protestas y que no se consignan por orden de la Presidencia.),105324,119098
1936-07-01,54,acotacion,Martínez Barrio,Ángel Galarza,(El final de la frase no se consigna por orden del Sr. Presidente.—Aplausos.—Rumores.),106289,120221
1936-07-01,54,orden,Martínez Barrio,Diego Martínez Barrio,"Las palabras de S. S., en lo que a eso respecta, no constarán en el Diario de Sesiones.",106290,120222
