etapa,puesto,rep_id,rep_name,grafia,party,party_family,filas_habla_v3,palabras_habla_v3,pct_etapa
I,1,89,Manuel Azaña Diaz,Manuel Azaña Díaz,AR,Republicanos,417,426392,0.037256
I,2,821,Antonio Royo Villanova Morales,Antonio Royo Villanova Morales,Agrarios,Conservadores,849,418013,0.036524
I,3,754,Indalecio Prieto Tuero,Indalecio Prieto Tuero,PSOE,Socialista,635,298318,0.026066
I,4,98,Jose Antonio Balbontin Y Gutierrez,José Antonio Balbontín y Gutiérrez,PRRS,Republicanos,771,277533,0.02425
I,5,672,Eduardo Ortega Y Gasset,Eduardo Ortega y Gasset,PRRS,Republicanos,581,226570,0.019797
I,6,422,Rafael Guerra Del Rio,Rafael Guerra del Río,PRR,Republicanos,726,181936,0.015897
I,7,874,Felipe Sanchez Roman Y Gallifa,Felipe Sánchez Román y Gallifa,Indep.,Republicanos,149,165862,0.014492
I,8,209,Santiago Casares Quiroga,Santiago Casares Quiroga,FRG,Republicanos,431,149448,0.013058
I,9,208,Candido Casanueva Y Gorjon,Cándido Casanueva y Gorjón,Agrarios,Conservadores,570,147082,0.012851
I,10,470,Jose Maria Lamamie De Clairac Y De La Colina,José María Lamamié de Clairac y de la Colina,CT,Carlistas,239,136058,0.011888
I,11,676,Angel Osorio Gallardo,Ángel Ossorio Gallardo,Indep.,Liberales,458,132481,0.011576
I,12,386,Jeronimo Gomariz Latorre,Jerónimo Gomariz Latorre,PRRS,Republicanos,774,128232,0.011204
I,13,485,Jesus Maria Leizaola Sanchez,Jesús María Leizaola Sánchez,PNV,Nacionalista Vasco,263,123122,0.010758
I,14,301,Ramon Feced Gresa,Ramón Feced Gresa,PRR,Republicanos,698,119931,0.010479
I,15,380,Jose Maria Gil Robles Y Quiñones De Leon,José María Gil Robles y Quiñones de León,CEDA,Conservadores,302,112862,0.009861
I,16,298,Joaquin Fanjul Goñi,Joaquín Fanjul Goñi,Agrarios,Conservadores,298,111084,0.009706
I,17,190,Jaime Carner Romeu,Jaime Carner Romeu,PRRS,Republicanos,265,110059,0.009616
I,18,548,Pedro Martin Y Martin,Pedro Martín y Martín,Agrarios,Conservadores,181,107446,0.009388
I,19,112,Eduardo Barriobero Herran,Eduardo Barriobero Herrán,PRDF,Republicanos,299,106138,0.009274
I,20,673,Jose Ortega Y Gasset,José Ortega y Gasset,ASR,Liberales,180,105628,0.009229
I,21,155,Juan Botella Asensi,Juan Botella Asensi,PRRS,Republicanos,261,105132,0.009186
I,22,851,Rafael Salazar Alonso,Rafael Salazar Alonso,PRR,Republicanos,405,99792,0.008719
I,23,345,Angel Galarza Gago,Ángel Galarza Gago,PRRS,Republicanos,243,96404,0.008423
I,24,26,Alvaro De Albornoz Y Liminiana,Álvaro de Albornoz y Liminiana,PRRS,Republicanos,288,94669,0.008272
I,25,581,Miguel Maura Gamazo,Miguel Maura Gamazo,DLR,Liberales,327,92449,0.008078
I,26,218,Juan Castrillo Santos,Juan Castrillo Santos,DLR,Liberales,453,89793,0.007846
I,27,1,Gerardo Abad Conde,Gerardo Abad Conde,PRR,Republicanos,258,89318,0.007804
I,28,166,Abilio Calderon Rojo,Abilio Calderón Rojo,Agrarios,Conservadores,190,89191,0.007793
I,29,791,Fernando De Los Rios Urruti,Fernando de los Ríos Urruti,PSOE,Socialista,259,88833,0.007762
I,30,393,Ricardo Gomez Roji,Ricardo Gómez Roji,CT,Carlistas,185,88289,0.007714
I,31,558,Lucio Martinez Gil,Lucio Martínez Gil,PSOE,Socialista,257,86980,0.0076
I,32,28,Niceto Alcala Zamora Y Torres,Niceto Alcalá-Zamora y Torres,DLR,Liberales,150,86859,0.007589
I,33,359,Jeronimo Garcia Gallego,Jerónimo García Gallego,Indep.,Liberales,114,83715,0.007315
I,34,231,Jose Maria Cid Ruiz Zorrilla,José María Cid Ruiz Zorrilla,Agrarios,Conservadores,188,79295,0.006928
I,35,20,Santiago Alba Bonifaz,Santiago Alba Bonifaz,Indep.,Liberales,256,79292,0.006928
I,36,538,Manuel Marraco Ramon,Manuel Marraco Ramón,PRR,Republicanos,220,78520,0.006861
I,37,722,Joaquin Perez Madrigal,Joaquín Pérez Madrigal,PRRS,Republicanos,504,76506,0.006685
I,38,52,Jose Maria Alvarez Mendizabal Y Bonilla,José María Álvarez Mendizábal y Bonilla,PRR,Republicanos,295,76339,0.00667
I,39,487,Alejandro Lerroux Garcia,Alejandro Lerroux García,PRR,Republicanos,68,75225,0.006573
I,40,495,Francisco Lopez De Goicoechea E Inchaurrandieta,Francisco López de Goicoechea e Inchaurrandieta,PRRS,Republicanos,286,74972,0.006551
I,41,790,Cirilo Del Rio Rodriguez,Cirilo del Río Rodríguez,DLR,Liberales,352,74556,0.006514
I,42,503,Jose Lopez Varela,José López Varela,PRR,Republicanos,119,74477,0.006507
I,43,97,Emilio Baeza Medina,Emilio Baeza Medina,PRRS,Republicanos,440,72489,0.006334
I,44,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,Tomás Ortiz de Solórzano y Ortiz de la Puente,CEDA,Conservadores,255,71141,0.006216
I,45,455,Luis Jimenez De Asua,Luis Jiménez de Asúa,PSOE,Socialista,390,69391,0.006063
I,46,925,Ramon Suarez Picallo,Ramón Suárez Picallo,FRG,Galleguista,81,68943,0.006024
I,47,565,Salvador Martinez Moya Crespo,Salvador Martínez Moya Crespo,PRR,Republicanos,319,68567,0.005991
I,48,435,Diego Hidalgo Duran,Diego Hidalgo Durán,PRR,Republicanos,129,68101,0.00595
I,49,280,Francisco Javier Elola Y Diaz Varela,Francisco Javier Elola y Díaz Varela,PRR,Republicanos,213,63761,0.005571
I,50,421,Santiago Guallar Poza,Santiago Guallar Poza,CEDA,Conservadores,110,62112,0.005427
I,51,33,Jose Algora Gorbea,José Algora Gorbea,PSOE,Socialista,166,59794,0.005225
I,52,87,Manuel Hilario Ayuso E Iglesias,Manuel Hilario Ayuso e Iglesias,PRDF,Republicanos,358,59762,0.005222
I,53,479,Francisco Largo Caballero,Francisco Largo Caballero,PSOE,Socialista,190,59235,0.005176
I,54,420,Antonio Guallar Poza,Antonio Guallar Poza,PRRS,Republicanos,91,59095,0.005163
I,55,305,Federico Fernandez Castillejo,Federico Fernández Castillejo,DLR,Liberales,192,58428,0.005105
I,56,175,Clara Campoamor Y Rodriguez,Clara Campoamor y Rodríguez,PRR,Republicanos,202,57836,0.005053
I,57,244,Luis Cornide Quiroga,Luis Cornide Quiroga,Indep.,Liberales,148,57118,0.004991
I,58,747,Joaquin Poza Juncal,Joaquín Poza Juncal,AR,Republicanos,228,55869,0.004882
I,59,178,Juan Canales Gonzalez,Juan Canales González,PSOE,Socialista,184,55243,0.004827
I,60,306,Luis Fernandez Clerigo,Luis Fernández Clérigo,AR,Republicanos,177,55149,0.004819
I,61,809,Santiago Rodriguez Piñero,Santiago Rodríguez Piñero,PRR,Republicanos,192,55073,0.004812
I,62,863,Ricardo Samper Ibañez,Ricardo Samper Ibáñez,PURA,Republicanos,136,54129,0.00473
I,63,1011,Justo Villanueva Y Gomez,Justo Villanueva y Gómez,PRR,Republicanos,280,52793,0.004613
I,64,272,Marcelino Domingo Sanjuan,Marcelino Domingo Sanjuán,PRRS,Republicanos,115,51371,0.004489
I,65,883,Juan Jose Santa Cruz Garces,Juan José Santa Cruz Garcés,ASR,Liberales,103,49935,0.004363
I,66,655,Emilio Niembro Gutierrez,Emilio Niembro Gutiérrez,PRDF,Republicanos,116,49179,0.004297
I,67,384,Jose Giral Pereira,José Giral Pereira,ACR,Republicanos,106,49148,0.004294
I,68,450,Antonio Jaen Morente,Antonio Jaén Morente,DLR,Republicanos,121,48377,0.004227
I,69,973,Bernardino Valle Gracia,Bernardino Valle Gracia,PRDF,Republicanos,215,47287,0.004132
I,70,703,Tomas Peire Cabaleiro,Tomás Peire Cabaleiro,PRR,Republicanos,122,46462,0.00406
I,71,783,Fernando Rey Mora,Fernando Rey Mora,PRR,Republicanos,158,45974,0.004017
I,72,607,Ramon Molina Nieto,Ramón Molina Nieto,CEDA,Conservadores,30,44218,0.003864
I,73,953,Manuel Torres Campaña,Manuel Torres Campaña,PRR,Republicanos,202,44112,0.003854
I,74,477,Antonio Lara Zarate,Antonio Lara Zárate,PRR,Republicanos,135,43092,0.003765
I,75,492,Juan Lluhi Vallesca,Juan Lluhí Vallescá,ERC,Catizq,174,41394,0.003617
I,76,18,Rafael Aizpun Santafe,Rafael Aizpún Santafé,Indep.,Conservadores,97,41268,0.003606
I,77,524,Jose Manteca Roger,José Manteca Roger,PURA,Republicanos,79,41213,0.003601
I,78,77,Pedro Armasa Briales,Pedro Armasa Briales,PRR,Republicanos,156,41020,0.003584
I,79,458,Antonio Jimenez Jimenez,Antonio Jiménez Jiménez,EIF,Republicanos,116,40819,0.003567
I,80,462,Cesar Juarros Ortega,César Juarros Ortega,DLR,Liberales,103,40796,0.003565
I,81,55,Basilio Alvarez Rodriguez,Basilio Álvarez Rodríguez,PRR,Republicanos,85,40547,0.003543
I,82,446,Vicente Iranzo Enguita,Vicente Iranzo Enguita,ASR,Liberales,185,40250,0.003517
I,83,1026,Luis Zulueta Y Escolano,Luis Zulueta y Escolano,ASR,Liberales,62,39926,0.003489
I,84,47,Tomas Alvarez Angulo,Tomás Álvarez Angulo,PSOE,Socialista,105,39636,0.003463
I,85,245,Pedro Corominas Y Montaña,Pedro Corominas y Montaña,ERC,Catizq,52,39017,0.003409
I,86,80,Gregorio Arranz Olalla,Gregorio Arranz Olalla,DLR,Liberales,115,38859,0.003395
I,87,735,Antonio Pildain Zapiain,Antonio Pildain Zapiain,CT,Carlistas,41,38664,0.003378
I,88,436,Jose Horn Areilza,José Horn Areilza,PNV,Nacionalista Vasco,201,38147,0.003333
I,89,920,Rodrigo Soriano Barroeta Aldamar,Rodrigo Soriano Barroeta Aldamar,PRDF,Republicanos,181,38036,0.003323
I,90,319,Bibiano Fernandez Osorio Tafall,Bibiano Fernández-Osorio Tafall,FRG,Republicanos,128,37893,0.003311
I,91,157,Jeronimo Bugeda Muñoz,Jerónimo Bugeda Muñoz,PSOE,Socialista,54,37817,0.003304
I,92,134,Joaquin Beunza Y Redin,Joaquín Beúnza y Redín,CT,Carlistas,110,37606,0.003286
I,93,512,Dimas Madariaga Almendros,Dimas Madariaga Almendros,CEDA,Conservadores,220,37379,0.003266
