banda,etapa,clave,nombre,desde,hasta,primera_sesion,ultima_sesion,sesiones,verificar
presidente_titular,I,besteiro,Julián Besteiro Fernández,1931-07-14,1932-05-13,1931-07-14-1,1932-05-13-165,165,
presidente_titular,I,barnes,Francisco Barnés,1932-05-17,1932-05-19,1932-05-17-166,1932-05-19-168,3,
presidente_titular,I,besteiro,Julián Besteiro Fernández,1932-05-20,1932-10-28,1932-05-20-169,1932-10-28-249,81,
presidente_titular,I,lara,Antonio Lara y Zárate,1932-11-01,1932-11-01,1932-11-01-250,1932-11-01-250,1,
presidente_titular,I,besteiro,Julián Besteiro Fernández,1932-11-02,1933-10-03,1932-11-02-251,1933-10-03-405,155,
presidente_titular,II,alba,Santiago Alba Bonifaz,1933-12-08,1934-01-19,1933-12-08-1,1934-01-19-25,25,
presidente_titular,II,casanueva,Cándido Casanueva,1934-01-23,1934-01-23,1934-01-23-26,1934-01-23-26,1,
presidente_titular,II,alba,Santiago Alba Bonifaz,1934-01-24,1935-07-26,1934-01-24-27,1935-07-26-231,205,
presidente_titular,II,gimenez_fernandez,Manuel Giménez Fernández,1935-09-24,1935-09-24,1935-09-24-232,1935-09-24-232,1,
presidente_titular,II,alba,Santiago Alba Bonifaz,1935-10-01,1935-12-10,1935-10-01-233,1935-12-10-276,44,
presidente_titular,III,martinez_barrio,Diego Martínez Barrio,1936-03-16,1936-04-08,1936-03-16-1,1936-04-08-16,16,
presidente_titular,III,jimenez_de_asua,Luis Jiménez de Asúa,1936-04-15,1936-05-08,1936-04-15-17,1936-05-08-27,11,sí
presidente_titular,III,martinez_barrio,Diego Martínez Barrio,1936-05-12,1936-07-10,1936-05-12-28,1936-07-10-60,33,
presidente_titular,IV,martinez_barrio,Diego Martínez Barrio,1936-10-01,1939-02-01,1936-10-01-61,1939-02-01-69,9,
presidente_titular,V,martinez_barrio,Diego Martínez Barrio,1945-01-10,1945-01-10,1945-01-10-70,1945-01-10-70,1,
presidente_titular,V,fernandez_clerigo,Luis Fernández Clérigo,1945-08-17,1945-08-17,1945-08-17-71,1945-08-17-71,1,sí
presidente_titular,V,jimenez_de_asua,Luis Jiménez de Asúa,1945-11-07,1945-11-09,1945-11-07-72,1945-11-09-74,3,sí
gobierno,I,provisional,Gobierno Provisional (Alcalá-Zamora),1931-07-14,1931-10-13,1931-07-14-1,1931-10-13-55,55,
gobierno,I,azana_1,Gobierno Azaña I,1931-10-14,1931-12-15,1931-10-14-56,1931-12-15-90,35,
gobierno,I,azana_2,Gobierno Azaña II,1931-12-17,1933-06-08,1931-12-17-91,1933-06-08-352,262,
gobierno,I,azana_3,Gobierno Azaña III,1933-06-14,1933-09-08,1933-06-14-353,1933-09-08-403,51,
gobierno,I,lerroux_1,Gobierno Lerroux I,1933-10-02,1933-10-03,1933-10-02-404,1933-10-03-405,2,
gobierno,II,martinez_barrio_1,Gobierno Martínez Barrio,1933-12-08,1933-12-15,1933-12-08-1,1933-12-15-5,5,
gobierno,II,lerroux_2,Gobierno Lerroux II,1933-12-19,1934-03-01,1933-12-19-6,1934-03-01-44,39,
gobierno,II,lerroux_3,Gobierno Lerroux III,1934-03-06,1934-04-25,1934-03-06-45,1934-04-25-74,30,
gobierno,II,samper,Gobierno Samper,1934-05-02,1934-10-01,1934-05-02-75,1934-10-01-113,39,
gobierno,II,lerroux_4,Gobierno Lerroux IV,1934-10-09,1935-03-29,1934-10-09-114,1935-03-29-180,67,
gobierno,II,lerroux_6,Gobierno Lerroux VI,1935-05-06,1935-09-24,1935-05-06-181,1935-09-24-232,52,
gobierno,II,chapaprieta_1,Gobierno Chapaprieta I,1935-10-01,1935-10-28,1935-10-01-233,1935-10-28-250,18,
gobierno,II,chapaprieta_2,Gobierno Chapaprieta II,1935-10-29,1935-12-10,1935-10-29-251,1935-12-10-276,26,
gobierno,III,azana_4,Gobierno Azaña (1936),1936-03-16,1936-05-08,1936-03-16-1,1936-05-08-27,27,
gobierno,III,barcia,Gobierno Barcia (interino),1936-05-12,1936-05-12,1936-05-12-28,1936-05-12-28,1,
gobierno,III,casares_quiroga,Gobierno Casares Quiroga,1936-05-19,1936-07-10,1936-05-19-29,1936-07-10-60,32,
gobierno,IV,largo_caballero_1,Gobierno Largo Caballero I,1936-10-01,1936-10-01,1936-10-01-61,1936-10-01-61,1,
gobierno,IV,largo_caballero_2,Gobierno Largo Caballero II,1936-12-01,1937-02-01,1936-12-01-62,1937-02-01-63,2,
gobierno,IV,negrin_1,Gobierno Negrín I,1937-10-01,1938-02-01,1937-10-01-64,1938-02-01-66,3,
gobierno,IV,negrin_2,Gobierno Negrín II,1938-09-30,1939-02-01,1938-09-30-67,1939-02-01-69,3,
gobierno,V,negrin_exilio,Gobierno Negrín (en el exilio),1945-01-10,1945-08-17,1945-01-10-70,1945-08-17-71,2,
gobierno,V,giral_exilio,Gobierno Giral (en el exilio),1945-11-07,1945-11-09,1945-11-07-72,1945-11-09-74,3,sí
