cifra,valor,tipo,base,clave,fuente,fecha,texto,modulo
afin.1931.aislados,22,n,afin,C,fichas del censo de 1931-1933 sin ninguna relación en el edgelist,2026-09-23,22,afinidades
afin.1931.censo,475,n,afin,C,fichas del censo en 1931-1933 (CGOCUS V1.1),2026-09-23,475,afinidades
afin.1931.cruce_bloque,0.3506014170374032,pct,afin,C,relaciones de 1931-1933 con los dos firmantes en bloques distintos / relaciones,2026-09-23,"35,1 %",afinidades
afin.1931.cruce_centro,0.7979133377197105,pct,afin,C,relaciones de 1931-1933 que cruzan de bloque con un firmante del centro / relaciones que cruzan de bloque,2026-09-23,"79,8 %",afinidades
afin.1931.cruce_estricto,0.07085187015982863,pct,afin,C,relaciones de 1931-1933 izquierda–derecha / relaciones,2026-09-23,"7,1 %",afinidades
afin.1931.firman,453,n,afin,C,firmantes del edgelist de 1931-1933 que tienen ficha en el censo de 1931-1933,2026-09-23,453,afinidades
afin.1931.fuera_censo,1,n,afin,C,firmantes del edgelist de 1931-1933 sin ficha en el censo de 1931-1933,2026-09-23,1,afinidades
afin.1931.medidas,674,n,afin,C,id_medida distintos del edgelist de 1931-1933,2026-09-23,674,afinidades
afin.1931.modularidad,0.377,n,afin,C,party_communities['1931-1933'].modularity (representatives_metrics.json),2026-09-23,"0,377",afinidades
afin.1931.puentes.n,3,n,afin,C,"puestos 1 a 3 de transversality_score en 1931-1933 (id_dip 50, 290, 960)",2026-09-23,3,afinidades
afin.1931.relaciones,30345,n,afin,C,filas del edgelist de 1931-1933 (relaciones par-medida),2026-09-23,30.345,afinidades
afin.1933.aislados,30,n,afin,C,fichas del censo de 1933-1936 sin ninguna relación en el edgelist,2026-09-23,30,afinidades
afin.1933.censo,470,n,afin,C,fichas del censo en 1933-1936 (CGOCUS V1.1),2026-09-23,470,afinidades
afin.1933.cruce_bloque,0.23038421904902104,pct,afin,C,relaciones de 1933-1936 con los dos firmantes en bloques distintos / relaciones,2026-09-23,"23,0 %",afinidades
afin.1933.cruce_centro,0.8899361022364217,pct,afin,C,relaciones de 1933-1936 que cruzan de bloque con un firmante del centro / relaciones que cruzan de bloque,2026-09-23,"89,0 %",afinidades
afin.1933.cruce_estricto,0.025356985131753277,pct,afin,C,relaciones de 1933-1936 izquierda–derecha / relaciones,2026-09-23,"2,5 %",afinidades
afin.1933.firman,440,n,afin,C,firmantes del edgelist de 1933-1936 que tienen ficha en el censo de 1933-1936,2026-09-23,440,afinidades
afin.1933.fuera_censo,6,n,afin,C,firmantes del edgelist de 1933-1936 sin ficha en el censo de 1933-1936,2026-09-23,6,afinidades
afin.1933.medidas,767,n,afin,C,id_medida distintos del edgelist de 1933-1936,2026-09-23,767,afinidades
afin.1933.relaciones,27172,n,afin,C,filas del edgelist de 1933-1936 (relaciones par-medida),2026-09-23,27.172,afinidades
afin.1936.aislados,186,n,afin,C,fichas del censo de 1936-1939 sin ninguna relación en el edgelist,2026-09-23,186,afinidades
afin.1936.censo,501,n,afin,C,fichas del censo en 1936-1939 (CGOCUS V1.1),2026-09-23,501,afinidades
afin.1936.cruce_bloque,0.07378964941569283,pct,afin,C,relaciones de 1936-1939 con los dos firmantes en bloques distintos / relaciones,2026-09-23,"7,4 %",afinidades
afin.1936.cruce_centro,0.2149321266968326,pct,afin,C,relaciones de 1936-1939 que cruzan de bloque con un firmante del centro / relaciones que cruzan de bloque,2026-09-23,"21,5 %",afinidades
afin.1936.cruce_estricto,0.05792988313856427,pct,afin,C,relaciones de 1936-1939 izquierda–derecha / relaciones,2026-09-23,"5,8 %",afinidades
afin.1936.estricto_pnv,0.24495677233429394,pct,afin,C,relaciones izquierda–derecha de 1936-1939 cuyo firmante de derecha es del PNV en su ficha / relaciones izquierda–derecha,2026-09-23,"24,5 %",afinidades
afin.1936.firman,315,n,afin,C,firmantes del edgelist de 1936-1939 que tienen ficha en el censo de 1936-1939,2026-09-23,315,afinidades
afin.1936.fuera_censo,1,n,afin,C,firmantes del edgelist de 1936-1939 sin ficha en el censo de 1936-1939,2026-09-23,1,afinidades
afin.1936.fuera_principal,5,n,afin,C,"firmantes del censo de 1936-1939 fuera de la componente mayor (componentes [310, 3, 2])",2026-09-23,5,afinidades
afin.1936.medidas,89,n,afin,C,id_medida distintos del edgelist de 1936-1939,2026-09-23,89,afinidades
afin.1936.medidas_antes,85,n,afin,C,medidas de 1936-1939 cuya primera firma es de una sesión anterior al 18-VII-1936,2026-09-23,85,afinidades
afin.1936.medidas_estricto,16,n,afin,C,id_medida de 1936-1939 con al menos una relación izquierda–derecha,2026-09-23,16,afinidades
afin.1936.modularidad,0.5029,n,afin,C,party_communities['1936-1939'].modularity (representatives_metrics.json),2026-09-23,"0,503",afinidades
afin.1936.puentes.n,5,n,afin,C,"grupo de los cinco primeros de transversality_score en 1936-1939 (Aguirre 2.º, Irujo 5.º)",2026-09-23,5,afinidades
afin.1936.relaciones,5990,n,afin,C,filas del edgelist de 1936-1939 (relaciones par-medida),2026-09-23,5.990,afinidades
afin.firmas,13452,n,afin,C,filas de 2REP_cosponsorship (CGOCUS V1.1): una por firma de una medida,2026-09-23,13.452,afinidades
afin.firmas_sin_diputado,781,n,afin,C,firmas de 2REP_cosponsorship sin id_dip (CGOCUS V1.1),2026-09-23,781,afinidades
afin.medidas,1530,n,afin,C,id_medida distintos del edgelist (CGOCUS V1.1),2026-09-23,1.530,afinidades
afin.medidas_sin_relacion,65,n,afin,C,id_medida de 2REP_cosponsorship con menos de dos id_dip distintos (CGOCUS V1.1),2026-09-23,65,afinidades
afin.personas,1026,n,afin,C,"id_dip distintos del censo (representative_metadata, CGOCUS V1.1)",2026-09-23,1.026,afinidades
afin.relaciones,63507,n,afin,C,filas de 2REP_coauthor_edgelist (CGOCUS V1.1): una por par de firmantes y medida,2026-09-23,63.507,afinidades
afin.sin_grafia,253,n,afin,C,personas del censo de CGOCUS sin grafía revisada en grafias.json (su nombre va como lo escribe CGOCUS),2026-09-23,253,afinidades
afin.tres_leg,78,n,afin,C,id_dip con ficha en las tres legislaturas (CGOCUS V1.1),2026-09-23,78,afinidades
afin.truncadas.medidas,175,n,afin,C,medidas del edgelist cuyo texto dice «Siguen las firmas…» (lista cortada en el Diario),2026-09-23,175,afinidades
afin.truncadas.relaciones,0.1319382115357362,pct,afin,C,relaciones par-medida de las medidas con la lista cortada / relaciones,2026-09-23,"13,2 %",afinidades
bib.casas_viejas.entradas,943,n,v3,C,items de L2-B7,2026-09-23,943,sesiones
bib.casas_viejas.nombre,Debate · Casas Viejas,texto,v3,M,L2-B7 › collection.name,2026-09-23,Debate · Casas Viejas,sesiones
bib.casas_viejas.sesiones,9,n,v3,C,"sesiones (date, num_session) de sus items",2026-09-23,9,sesiones
bib.debates,26,n,v3,C,bibliotecas de debate (clave L2),2026-09-23,26,base
bib.debates_enteros,25,n,v3,C,debates cuyas entradas son todas las filas de habla de sus sesiones (clave de sesión: fecha y número),2026-09-23,25,explorador
