rep_id,nombre,filas_v2,palabras_v2,filas_v2_presidencia,palabras_v2_presidencia,filas_v3,palabras_v3,cambio_palabras
133,Julián Besteiro,21730,1028999,21680,995577,21754,459111,-0.553828
20,Santiago Alba,14508,1024975,14240,937686,14559,337782,-0.670449
754,Indalecio Prieto,1000,554773,0,0,1016,521742,-0.05954
821,Antonio Royo Villanova,1037,548622,0,0,1042,534408,-0.025909
89,Manuel Azaña,430,480546,0,0,439,490603,0.020928
422,Rafael Guerra del Río,965,289816,0,0,970,278933,-0.037551
98,José Antonio Balbontín,767,287497,0,0,771,277533,-0.034658
470,José María Lamamié de Clairac,514,276779,0,0,515,272239,-0.016403
208,Cándido Casanueva,2286,272125,1161,46355,2296,232783,-0.144573
456,Manuel Giménez Fernández,1903,270505,1562,69004,1917,224505,-0.170052
380,José María Gil Robles,614,263006,0,0,621,267188,0.015901
103,Augusto Barcia,532,257647,0,0,534,253789,-0.014974
170,José Calvo Sotelo,245,252263,0,0,247,247593,-0.018512
672,Eduardo Ortega y Gasset,579,232124,0,0,581,226570,-0.023927
550,Diego Martínez Barrio,1986,217271,1788,141436,1993,116241,-0.464995
790,Cirilo del Río,528,198256,0,0,517,169216,-0.146477
804,Luis Rodríguez de Viguri,682,184811,0,0,684,181922,-0.015632
229,Joaquín Chapaprieta,377,174355,0,0,379,172858,-0.008586
538,Manuel Marraco,908,170128,479,11552,915,153359,-0.098567
722,Joaquín Pérez Madrigal,785,164124,0,0,815,159327,-0.029228
874,Felipe Sánchez Román,147,161551,0,0,149,165862,0.026685
209,Santiago Casares Quiroga,409,160911,0,0,445,169055,0.050612
548,Pedro Martín y Martín,263,156988,0,0,263,154050,-0.018715
386,Jerónimo Gomariz,855,156377,0,0,854,152223,-0.026564
166,Abilio Calderón,357,152486,0,0,359,148952,-0.023176
455,Luis Jiménez de Asúa,1084,149322,655,45912,1088,116885,-0.217229
231,José María Cid,265,148010,0,0,265,145617,-0.016168
863,Ricardo Samper,297,144527,0,0,303,143326,-0.00831
851,Rafael Salazar Alonso,531,144409,0,0,540,150320,0.040932
52,José María Álvarez Mendizábal,643,142407,0,0,645,140965,-0.010126
512,Dimas Madariaga,460,140968,0,0,442,124758,-0.114991
477,Antonio Lara,1105,140316,826,39060,1109,109277,-0.221208
581,Miguel Maura,392,139874,0,0,409,142471,0.018567
676,Ángel Ossorio Gallardo,454,134120,0,0,458,132481,-0.01222
345,Ángel Galarza,319,132332,0,0,318,130728,-0.012121
301,Ramón Feced,691,128849,0,0,698,119931,-0.069213
487,Alejandro Lerroux,134,123726,0,0,134,123472,-0.002053
385,Antonio Goicoechea,152,123659,0,0,153,123240,-0.003388
485,Jesús María Leizaola,266,123148,0,0,268,125811,0.021624
565,Salvador Martínez Moya,508,116421,0,0,510,114840,-0.01358
190,Jaime Carner,260,113134,0,0,265,110059,-0.02718
305,Federico Fernández Castillejo,359,112625,0,0,362,108525,-0.036404
298,Joaquín Fanjul,284,112070,0,0,299,111172,-0.008013
112,Eduardo Barriobero,296,107989,0,0,299,106138,-0.017141
791,Fernando de los Ríos,275,107811,0,0,284,111729,0.036341
673,José Ortega y Gasset,179,107131,0,0,180,105628,-0.01403
155,Juan Botella,261,105954,0,0,261,105132,-0.007758
558,Lucio Martínez Gil,292,105943,0,0,293,107227,0.01212
