legislatura,id_dip,nombre,partido,familia,ideologia,firmo_con,medidas_firmadas,en_la_red_principal,no_firma_con_nadie,grafia
1931-1933,1,Gerardo Abad Conde,PRR,Republicanos,C,189,59,True,False,revisada
1931-1933,2,Raimundo de Abadal,Lliga,Catalanista de derecha,CD,14,1,True,False,revisada
1931-1933,3,Isaac Abeytua Perez Iñigo,PRRS,Republicanos,CI,101,15,True,False,sin revisar (CGOCUS)
1931-1933,5,Jose Aceituno de la Camara,PSOE,Socialista,I,18,1,True,False,sin revisar (CGOCUS)
1931-1933,6,Amós Acero,PSOE,Socialista,I,12,2,True,False,revisada
1931-1933,7,Antonio Acuña,PSOE,Socialista,I,79,10,True,False,revisada
1931-1933,11,Jaime Aguadé,ERC,Catalanista de izquierda,I,18,3,True,False,revisada
1931-1933,16,José Antonio Aguirre,PNV,Nacionalista Vasco,CD,32,15,True,False,revisada
1931-1933,17,Francisco Agustín,PRR,Republicanos,C,86,18,True,False,revisada
1931-1933,18,Rafael Aizpún,Independiente,Conservadores,D,28,13,True,False,revisada
1931-1933,20,Santiago Alba,Independiente,Liberales,CD,104,11,True,False,revisada
1931-1933,21,Manuel Albar,PSOE,Socialista,I,123,12,True,False,revisada
1931-1933,22,Gumersindo Alberca Montoya,AR,Republicanos,CI,134,22,True,False,revisada
1931-1933,26,Álvaro de Albornoz,PRRS,Republicanos,CI,11,1,True,False,revisada
1931-1933,28,Niceto Alcalá-Zamora,DLR,Liberales,CD,29,3,True,False,revisada
1931-1933,29,Manuel Alcazar Gonzalez Zamorano,PRRS,Republicanos,CI,6,1,True,False,sin revisar (CGOCUS)
1931-1933,30,Ramón María Aldasoro,PRRS,Republicanos,CI,146,28,True,False,revisada
1931-1933,31,Luis Alemany Pujol,PRC,Conservadores,D,27,7,True,False,sin revisar (CGOCUS)
1931-1933,32,Edmundo Alfaro,PRR,Republicanos,C,131,24,True,False,revisada
1931-1933,33,José Algora,PSOE,Socialista,I,167,27,True,False,revisada
1931-1933,35,Rodrigo Almada,PSOE,Socialista,I,16,2,True,False,revisada
1931-1933,38,Gabriel Alomar,PRRS,Republicanos,CI,39,5,True,False,revisada
1931-1933,39,Tomás Alonso de Armiño,Agrarios,Agrarios,CD,74,30,True,False,revisada
1931-1933,40,Bruno Alonso González,PSOE,Socialista,I,66,6,True,False,revisada
1931-1933,41,Domingo Alonso,PSOE,Socialista,I,8,2,True,False,revisada
1931-1933,45,Héctor Altabás,PURA,Republicanos,C,102,17,True,False,revisada
1931-1933,47,Tomás Álvarez Angulo,PSOE,Socialista,I,13,2,True,False,revisada
1931-1933,48,José Álvarez Buylla,PRR,Republicanos,C,17,3,True,False,revisada
1931-1933,50,Melquíades Álvarez,LD,Liberales,C,57,6,True,False,revisada
1931-1933,52,José María Álvarez Mendizábal,PRR,Republicanos,C,137,20,True,False,revisada
1931-1933,55,Basilio Álvarez,PRR,Republicanos,C,178,39,True,False,revisada
1931-1933,65,Mariano Ansó,AR,Republicanos,CI,58,7,True,False,revisada
1931-1933,68,Amadeo Aragay,ERC,Catalanista de izquierda,I,39,7,True,False,revisada
1931-1933,69,Francisco Aramburu e Inda,DLR,Liberales,CD,97,13,True,False,sin revisar (CGOCUS)
1931-1933,70,Fermín Aranda,AR,Republicanos,CI,103,18,True,False,revisada
1931-1933,71,Luis Araquistáin,PSOE,Socialista,I,14,1,True,False,revisada
1931-1933,73,Eugenio Arauz,PRDF,Republicanos,CI,81,12,True,False,revisada
1931-1933,74,Eugenio Arbones,PSOE,Socialista,I,26,9,True,False,revisada
1931-1933,77,Pedro Armasa,PRR,Republicanos,C,136,30,True,False,revisada
1931-1933,80,Gregorio Arranz,DLR,Liberales,CD,57,9,True,False,revisada
1931-1933,82,Andrés de Arroyo,CT,Carlistas,ED,15,4,True,False,revisada
1931-1933,83,Benito Artigas Arpón,PRRS,Republicanos,CI,83,19,True,False,revisada
1931-1933,85,José Ayats,DLR,Liberales,CD,96,13,True,False,revisada
1931-1933,86,Julián Ayesta,DLR,Liberales,CD,58,10,True,False,revisada
1931-1933,87,Manuel Hilario Ayuso,PRDF,Republicanos,CI,200,49,True,False,revisada
1931-1933,89,Manuel Azaña,AR,Republicanos,CI,11,1,True,False,revisada
1931-1933,90,Emilio Azarola,PRRS,Republicanos,CI,20,3,True,False,revisada
1931-1933,91,Justino de Azcárate,ASR,Liberales,C,72,16,True,False,revisada
1931-1933,93,Francisco Azorín,PSOE,Socialista,I,85,10,True,False,revisada
1931-1933,95,Ubaldo de Azpiazu,PRR,Republicanos,C,59,9,True,False,revisada
1931-1933,97,Emilio Baeza Medina,PRRS,Republicanos,CI,183,39,True,False,revisada
1931-1933,98,José Antonio Balbontín,PRRS,Republicanos,CI,106,23,True,False,revisada
1931-1933,99,José Ballester,PRRS,Republicanos,CI,157,23,True,False,revisada
1931-1933,102,Sebastián Banzo,PRR,Republicanos,C,86,15,True,False,revisada
1931-1933,105,Miguel Bargalló,PSOE,Socialista,I,45,5,True,False,revisada
1931-1933,107,Francisco Barnés,PRRS,Republicanos,CI,132,18,True,False,revisada
1931-1933,112,Eduardo Barriobero,PRDF,Republicanos,CI,170,34,True,False,revisada
1931-1933,116,Francisco Basterrechea,PNV,Nacionalista Vasco,CD,35,20,True,False,revisada
1931-1933,119,Ramón Beade,PSOE,Socialista,I,57,7,True,False,revisada
1931-1933,121,Manuel Becerra,PRR,Republicanos,C,92,7,True,False,revisada
1931-1933,122,Epifanio Belli,ERC,Catalanista de izquierda,I,14,2,True,False,revisada
1931-1933,123,Luis Bello,AR,Republicanos,CI,151,25,True,False,revisada
1931-1933,127,José Berenguer,PRRS,Republicanos,CI,50,7,True,False,revisada
1931-1933,134,Joaquín Beúnza,CT,Carlistas,ED,55,19,True,False,revisada
1931-1933,140,Carlos Blanco,DLR,Liberales,CD,95,11,True,False,revisada
1931-1933,141,Benito Blanco-Rajoy,Independiente,Conservadores,D,90,23,True,False,revisada
1931-1933,143,Sigfrido Blasco-Ibáñez,PURA,Republicanos,C,90,13,True,False,revisada
1931-1933,146,Fermín Blázquez,PSOE,Socialista,I,54,7,True,False,revisada
1931-1933,149,Jose Bordas de la Cuesta,ERC,Catalanista de izquierda,I,33,3,True,False,sin revisar (CGOCUS)
1931-1933,151,Jose Borrajo Esquiu,PRR,Republicanos,C,87,11,True,False,sin revisar (CGOCUS)
1931-1933,152,Juan Bort,PRR,Republicanos,C,100,11,True,False,revisada
1931-1933,154,Enrique Heraclio Botana,PSOE,Socialista,I,92,21,True,False,revisada
1931-1933,155,Juan Botella,PRRS,Republicanos,CI,174,34,True,False,revisada
1931-1933,157,Jerónimo Bugeda,PSOE,Socialista,I,62,7,True,False,revisada
1931-1933,162,Remigio Cabello,PSOE,Socialista,I,107,14,True,False,revisada
1931-1933,164,Antonio Cabrera,PSOE,Socialista,I,49,8,True,False,revisada
1931-1933,166,Abilio Calderón,Agrarios,Agrarios,CD,104,48,True,False,revisada
1931-1933,167,Juan Calot,PURA,Republicanos,C,125,25,True,False,revisada
1931-1933,172,Miguel de Cámara,PRR,Republicanos,C,131,19,True,False,revisada
1931-1933,174,Rafael Campaláns,USC,Socialista,I,29,7,True,False,revisada
1931-1933,175,Clara Campoamor,PRR,Republicanos,C,127,16,True,False,revisada
1931-1933,177,Antonio Canales,PSOE,Socialista,I,6,2,True,False,revisada
1931-1933,178,Juan Canales,PSOE,Socialista,I,91,17,True,False,revisada
1931-1933,180,José Teodoro Canet,PRR,Republicanos,C,86,13,True,False,revisada
1931-1933,181,Antonio Cañizares,PSOE,Socialista,I,31,7,True,False,revisada
1931-1933,182,José Cano Coloma,PRRS,Republicanos,CI,73,9,True,False,revisada
1931-1933,183,Rufino Cano de Rueda,Independiente,Conservadores,D,26,13,True,False,revisada
1931-1933,186,Vicente Cantos Figuerola,PRR,Republicanos,C,140,21,True,False,revisada
1931-1933,188,Jose Cardona Serra,PRR,Republicanos,C,65,3,True,False,sin revisar (CGOCUS)
1931-1933,190,Jaime Carner,PRRS,Republicanos,CI,6,1,True,False,revisada
1931-1933,195,Manuel Carrasco y Formiguera,Lliga,Catalanista de derecha,CD,16,3,True,False,revisada
1931-1933,197,Ramón Carreras Pons,PRR,Republicanos,C,140,22,True,False,revisada
1931-1933,198,Francisco Carreras Reura,AR,Republicanos,CI,41,11,True,False,revisada
1931-1933,199,Gerardo Carreres,PURA,Republicanos,C,108,19,True,False,revisada
1931-1933,201,Wenceslao Carrillo,PSOE,Socialista,I,35,3,True,False,revisada
1931-1933,208,Cándido Casanueva,Agrarios,Agrarios,CD,107,47,True,False,revisada
1931-1933,209,Santiago Casares Quiroga,FRG,Galleguista,CI,11,1,True,False,revisada
1931-1933,210,Hermenegildo Casas,PSOE,Socialista,I,83,7,True,False,revisada
1931-1933,214,Miguel Castaño Quiñones,PSOE,Socialista,I,25,3,True,False,sin revisar (CGOCUS)
1931-1933,216,Federico del Castillo Extremera,DLR,Liberales,CD,32,3,True,False,revisada
1931-1933,217,Enrique del Castillo Folache,DLR,Liberales,CD,14,3,True,False,revisada
1931-1933,218,Juan Castrillo,DLR,Liberales,CD,133,13,True,False,revisada
1931-1933,219,Honorato de Castro,AR,Republicanos,CI,55,10,True,False,revisada
1931-1933,221,Roberto Castrovido,Independiente,Republicanos,I,111,15,True,False,revisada
1931-1933,224,José Centeno,DLR,Liberales,CD,52,7,True,False,revisada
1931-1933,228,Adolfo Chacón,AR,Republicanos,CI,119,41,True,False,revisada
1931-1933,231,José María Cid,Agrarios,Agrarios,CD,92,32,True,False,revisada
1931-1933,233,Fernando Coca,AR,Republicanos,CI,6,1,True,False,revisada
1931-1933,238,Juan Company Jiménez,PRDF,Republicanos,CI,30,3,True,False,revisada
1931-1933,239,Luis Companys,ERC,Catalanista de izquierda,I,102,15,True,False,revisada
1931-1933,242,Luis Cordero,PRR,Republicanos,C,108,17,True,False,revisada
1931-1933,243,Manuel Cordero Pérez,PSOE,Socialista,I,160,17,True,False,revisada
1931-1933,244,Luis Cornide,Independiente,Liberales,CD,78,12,True,False,revisada
1931-1933,245,Pedro Corominas,ERC,Catalanista de izquierda,I,25,5,True,False,revisada
1931-1933,247,Ricardo Cortes,CEDA,Conservadores,D,30,14,True,False,revisada
1931-1933,251,Ricardo Crespo,AR,Republicanos,CI,64,12,True,False,revisada
1931-1933,255,Ramón de la Cuesta,Agrarios,Agrarios,CD,69,31,True,False,revisada
1931-1933,260,Perfecto Díaz Alonso,PRR,Republicanos,C,172,32,True,False,revisada
1931-1933,263,Juan Díaz del Moral,ASR,Liberales,C,20,3,True,False,revisada
1931-1933,264,José Díaz Fernández,PRRS,Republicanos,CI,138,23,True,False,revisada
1931-1933,265,Pio Diaz Pradas,PRR,Republicanos,C,114,11,True,False,sin revisar (CGOCUS)
1931-1933,270,Manuel Dolcet,PRDF,Republicanos,CI,83,11,True,False,revisada
1931-1933,271,Andrés Domingo Martínez,PSOE,Socialista,I,41,4,True,False,revisada
