clave,fecha,num_session,etapa,legislatura,filas_V2,palabras_V2,diputados_V2,diputados_sin_presidencia_V2,filas_mas_300_palabras_V2,filas_presidencia_V2,id_V2_desde,id_V2_hasta,filas_v3,filas_habla_v3,id_v3_desde,id_v3_hasta,puerta
1931-07-14-1,1931-07-14,1,I,1931-1933,10,5156,3,1,2,9,1,10,19,10,1,19,
1931-07-15-2,1931-07-15,2,I,1931-1933,46,5270,9,8,4,21,11,56,52,45,20,71,
1931-07-18-3,1931-07-18,3,I,1931-1933,358,16905,43,42,6,156,57,414,393,360,72,464,
1931-07-20-4,1931-07-20,4,I,1931-1933,93,17882,16,15,16,39,415,507,102,93,465,566,
1931-07-21-5,1931-07-21,5,I,1931-1933,103,12544,22,21,8,45,508,610,116,104,567,682,
1931-07-22-6,1931-07-22,6,I,1931-1933,44,4186,11,10,4,21,611,654,50,44,683,732,
1931-07-23-7,1931-07-23,7,I,1931-1933,5,420,2,1,0,4,655,659,10,5,733,742,
1931-07-24-8,1931-07-24,8,I,1931-1933,263,50732,40,38,40,120,660,922,276,265,743,1018,
1931-07-27-9,1931-07-27,9,I,1931-1933,54,11760,12,9,9,30,923,976,63,55,1019,1081,
1931-07-28-10,1931-07-28,10,I,1931-1933,94,21857,22,20,11,44,977,1070,102,94,1082,1183,
1931-07-29-11,1931-07-29,11,I,1931-1933,106,33234,20,18,28,53,1071,1176,113,109,1184,1296,
1931-07-30-12,1931-07-30,12,I,1931-1933,48,21802,19,18,16,25,1177,1224,52,48,1297,1348,
1931-07-31-13,1931-07-31,13,I,1931-1933,58,6481,11,10,6,29,1225,1282,69,59,1349,1417,
1931-08-04-14,1931-08-04,14,I,1931-1933,64,12699,14,13,9,29,1283,1346,74,64,1418,1491,
1931-08-05-15,1931-08-05,15,I,1931-1933,117,15877,18,16,14,47,1347,1463,123,117,1492,1614,
1931-08-06-16,1931-08-06,16,I,1931-1933,63,15398,14,12,12,25,1464,1526,67,63,1615,1681,
1931-08-07-17,1931-08-07,17,I,1931-1933,78,18301,16,15,12,33,1527,1604,87,78,1682,1768,
1931-08-11-18,1931-08-11,18,I,1931-1933,66,22130,12,11,14,33,1605,1670,72,65,1769,1840,
1931-08-12-19,1931-08-12,19,I,1931-1933,81,19800,16,15,16,34,1671,1751,90,81,1841,1930,
1931-08-13-20,1931-08-13,20,I,1931-1933,82,18073,20,19,16,37,1752,1833,93,85,1931,2023,
1931-08-14-21,1931-08-14,21,I,1931-1933,113,27698,29,28,19,47,1834,1946,122,114,2024,2145,
1931-08-18-22,1931-08-18,22,I,1931-1933,63,27639,19,18,15,29,1947,2009,73,63,2146,2218,
1931-08-19-23,1931-08-19,23,I,1931-1933,85,26258,27,25,23,38,2010,2094,91,85,2219,2309,
1931-08-20-24,1931-08-20,24,I,1931-1933,91,26065,20,19,18,42,2095,2185,102,93,2310,2411,
1931-08-21-25,1931-08-21,25,I,1931-1933,163,31082,27,25,27,72,2186,2348,176,165,2412,2587,
1931-08-25-26,1931-08-25,26,I,1931-1933,181,25386,31,29,19,81,2349,2529,202,187,2588,2789,
1931-08-26-27,1931-08-26,27,I,1931-1933,146,38350,30,29,26,65,2530,2675,162,151,2790,2951,
1931-08-27-28,1931-08-27,28,I,1931-1933,57,24876,14,12,9,28,2676,2732,64,57,2952,3015,
1931-08-28-29,1931-08-28,29,I,1931-1933,32,21612,11,10,9,17,2733,2764,41,32,3016,3056,
1931-09-01-30,1931-09-01,30,I,1931-1933,67,26117,13,12,11,30,2765,2831,78,67,3057,3134,
1931-09-02-31,1931-09-02,31,I,1931-1933,79,17083,25,23,8,37,2832,2910,92,79,3135,3226,
1931-09-03-32,1931-09-03,32,I,1931-1933,76,16962,20,19,10,33,2911,2986,86,76,3227,3312,
1931-09-04-33,1931-09-04,33,I,1931-1933,51,23202,12,11,12,22,2987,3037,60,52,3313,3372,
1931-09-08-34,1931-09-08,34,I,1931-1933,32,17913,10,8,7,18,3038,3069,42,35,3373,3414,
1931-09-09-35,1931-09-09,35,I,1931-1933,41,21641,11,10,11,22,3070,3110,52,42,3415,3466,
1931-09-10-36,1931-09-10,36,I,1931-1933,69,26391,20,18,16,34,3111,3179,84,73,3467,3550,
1931-09-11-37,1931-09-11,37,I,1931-1933,73,33604,17,16,17,35,3180,3252,83,74,3551,3633,
1931-09-15-38,1931-09-15,38,I,1931-1933,100,32402,18,16,14,45,3253,3352,116,100,3634,3749,
1931-09-16-39,1931-09-16,39,I,1931-1933,166,31112,33,30,26,76,3353,3518,186,175,3750,3935,
1931-09-17-40,1931-09-17,40,I,1931-1933,87,25942,17,16,17,43,3519,3605,102,88,3936,4037,
1931-09-18-41,1931-09-18,41,I,1931-1933,140,28575,31,29,18,67,3606,3745,157,139,4038,4194,
1931-09-22-42,1931-09-22,42,I,1931-1933,152,39144,31,29,27,72,3746,3897,174,153,4195,4368,
1931-09-23-43,1931-09-23,43,I,1931-1933,131,45633,26,24,21,63,3898,4028,147,131,4369,4515,
1931-09-24-44,1931-09-24,44,I,1931-1933,116,32020,30,27,21,52,4029,4144,131,119,4516,4646,
1931-09-25-45,1931-09-25,45,I,1931-1933,586,80275,61,59,67,271,4145,4730,659,585,4647,5305,
1931-09-29-46,1931-09-29,46,I,1931-1933,292,35119,37,35,27,133,4731,5022,322,293,5306,5627,
1931-09-30-47,1931-09-30,47,I,1931-1933,375,31985,43,41,31,173,5023,5397,422,375,5628,6049,
1931-10-01-48,1931-10-01,48,I,1931-1933,395,41963,48,46,34,164,5398,5792,415,395,6050,6464,sufragio-1931
1931-10-02-49,1931-10-02,49,I,1931-1933,226,25273,31,29,21,102,5793,6018,245,226,6465,6709,
